ID,출생연도,고객_교육수준,고객_결혼여부,고객_소득,고객_자녀수,고객_청소년수,고객_가입날짜,고객_최신구매일_경과기간,고객_와인_구매금액,고객_과일_구매금액,고객_육류_구매금액,고객_생선_구매금액,고객_사탕_구매금액,고객_골드_구매금액,고객_할인품목_구매횟수,고객_회사사이트_통한_구매횟수,고객_카탈로그_통한_구매횟수,고객_매장방문_구매횟수,고객_지난달_회사사이트_방문횟수,캠페인1_수락여부,캠페인2_수락여부,캠페인3_수락여부,캠페인4_수락여부,캠페인5_수락여부,불만제기,target
train_22,1968,학사,동거,56534.0,0,1,2013-07-23,35,691,7,61,10,0,46,4,10,4,7,8,0,1,0,1,0,0,1
train_23,1974,학사,기혼,45837.0,1,1,2013-07-26,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0
train_24,1982,학사,기혼,24711.0,0,0,2014-04-18,86,10,7,25,6,3,7,1,3,0,3,7,0,0,0,0,0,0,0
train_25,1975,학사,이혼,83829.0,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,0,1,0,1
train_26,1958,학사,동거,28087.0,1,1,2012-12-11,77,53,8,17,13,0,21,3,2,2,2,7,0,0,0,0,0,0,0
train_27,1973,학사,기혼,37971.0,1,0,2013-11-25,97,5,4,10,2,2,7,1,1,0,3,8,0,0,0,0,0,0,0
train_28,1965,석사,기혼,56962.0,2,1,2013-10-11,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0
train_29,1955,학사,미혼,62535.0,0,1,2013-10-03,13,163,48,90,0,45,52,1,3,2,8,3,0,0,0,0,0,0,0
train_30,1990,학사,기혼,35765.0,1,0,2013-12-11,86,22,3,30,0,5,15,2,2,0,4,6,0,0,0,0,0,0,0
train_31,1965,학사,기혼,73538.0,0,1,2012-11-25,92,811,76,428,99,137,107,3,10,4,9,7,0,0,0,0,0,0,0
train_32,1982,학사,기혼,69109.0,0,0,2012-11-09,10,823,25,459,124,29,95,1,6,6,7,4,0,0,0,0,1,0,1
train_33,1964,석사,기혼,64100.0,0,1,2013-09-10,93,509,0,27,0,0,10,1,8,3,6,7,0,0,0,1,0,0,0
train_34,1956,석사,동거,14661.0,0,0,2013-01-01,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0
train_35,1961,학사,기혼,60544.0,1,1,2012-08-25,92,201,2,43,3,5,35,4,5,1,5,6,0,0,0,0,0,0,0
train_36,1972,박사,기혼,59973.0,0,0,2013-09-11,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0
train_37,1967,학사,동거,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0
train_38,1962,박사,기혼,54693.0,0,1,2013-02-17,72,686,17,142,23,26,35,8,6,4,13,6,0,0,0,0,0,0,0
train_39,1966,학사,기혼,54198.0,1,1,2013-12-17,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0
train_40,1964,박사,동거,46910.0,1,1,2014-03-23,36,48,0,14,0,0,6,2,2,0,3,6,0,0,0,0,0,0,0
train_41,1963,학사,미혼,34377.0,0,1,2013-01-19,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0
train_42,1963,학사,동거,54414.0,1,1,2013-01-23,49,109,18,16,24,26,18,4,3,1,5,4,0,0,0,0,0,0,0
train_43,1953,학사,기혼,75027.0,0,1,2013-01-09,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0
train_44,1957,학사,기혼,73803.0,0,1,2012-08-01,61,833,80,363,52,26,174,2,9,5,6,6,0,0,1,0,0,0,1
train_45,1969,석사,미혼,26877.0,0,0,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0
train_46,1982,학사,동거,50272.0,1,0,2013-08-07,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0
train_47,1951,학사,사별,67046.0,0,1,2013-01-06,92,544,35,133,23,151,107,2,4,5,4,2,0,0,0,0,0,0,0
train_48,1977,박사,기혼,61996.0,0,1,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,1,1,0,1,0,0,1
train_49,1982,박사,기혼,84169.0,0,0,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,0,0,0,1,1,0,1
train_50,1978,학사,이혼,63693.0,0,1,2013-10-14,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0
train_51,1987,학사,동거,18227.0,1,0,2012-11-08,21,1,2,7,4,3,11,1,0,1,2,8,0,0,0,0,0,0,0
train_52,1977,고졸,동거,20981.0,0,0,2013-04-30,14,2,12,10,6,13,30,1,3,1,2,8,0,0,0,0,0,0,1
train_53,1950,박사,기혼,48699.0,1,1,2013-05-21,90,26,1,10,2,0,1,1,1,0,3,5,0,0,0,0,0,0,0
train_54,1959,학사,기혼,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0
train_55,1964,박사,기혼,31686.0,1,1,2014-06-05,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
train_56,1990,학사,기혼,73687.0,0,0,2013-11-28,8,559,153,503,218,13,181,1,3,9,9,2,1,0,0,0,0,0,1
train_57,1974,학사,동거,44392.0,1,1,2013-09-05,71,87,5,71,7,12,29,5,4,1,4,7,0,0,0,0,0,0,0
train_58,1949,고졸,사별,74859.0,0,0,2013-06-03,63,570,73,614,133,102,73,1,6,5,11,3,1,0,0,0,0,0,0
train_59,1970,고졸,기혼,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0
train_60,1965,초졸_중졸,미혼,23529.0,0,1,2013-01-07,67,9,7,13,3,2,20,1,1,1,2,6,0,0,0,0,0,0,0
train_61,1978,학사,기혼,42693.0,1,0,2014-06-07,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0
train_62,1973,학사,기혼,27803.0,1,0,2012-08-26,40,8,26,46,38,9,49,2,3,0,4,8,0,0,0,0,0,0,0
train_63,1962,석사,미혼,59247.0,0,2,2013-11-08,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0
train_64,1959,학사,이혼,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0
train_65,1951,석사,기혼,27450.0,0,0,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0
train_66,1977,박사,기혼,69389.0,0,1,2012-09-28,17,422,7,238,69,46,15,1,7,2,12,4,0,0,0,0,0,0,0
train_67,1971,학사,이혼,1730.0,0,0,2014-05-18,65,1,1,3,1,1,1,15,0,0,0,20,0,0,0,0,0,0,0
train_68,1971,박사,동거,32892.0,1,0,2014-05-25,78,26,0,15,2,1,2,2,3,0,3,8,0,0,0,0,0,0,0
train_69,1966,학사,동거,37758.0,1,1,2012-10-04,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0,0
train_70,1973,박사,기혼,157243.0,0,1,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0
train_71,1951,학사,기혼,53790.0,0,2,2014-03-06,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0
train_72,1973,학사,기혼,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0
train_73,1965,학사,동거,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,0,1
train_74,1949,박사,동거,67911.0,0,1,2014-05-22,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0
train_75,1957,학사,미혼,64849.0,0,0,2012-11-13,42,652,48,350,94,84,108,1,9,3,6,5,0,0,0,0,0,0,1
train_76,1981,박사,동거,39665.0,1,0,2013-05-25,97,127,1,56,0,1,31,3,4,2,3,7,0,0,1,0,0,0,0
train_77,1956,학사,기혼,15759.0,0,0,2013-09-05,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0
train_78,1986,박사,동거,91820.0,0,0,2013-11-23,72,410,73,747,76,161,30,0,5,5,12,1,0,0,0,0,0,0,0
train_79,1967,박사,동거,56575.0,0,2,2013-05-05,42,421,5,90,0,16,10,3,7,3,7,5,0,0,0,0,0,0,0
train_80,1959,고졸,이혼,59052.0,0,1,2013-11-17,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0
train_81,1962,고졸,동거,82122.0,0,0,2013-08-15,89,734,22,350,151,25,100,1,3,9,13,1,0,0,0,0,1,0,0
train_82,1949,박사,미혼,26518.0,1,1,2013-04-08,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1
train_83,1984,고졸,기혼,65370.0,0,0,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0
train_84,1977,석사,기혼,50353.0,0,0,2014-06-08,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0
train_85,1970,박사,이혼,35682.0,1,0,2014-06-27,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0
train_86,1964,학사,기혼,82224.0,0,0,2014-01-25,83,307,26,360,138,31,40,1,6,9,5,3,1,0,0,0,0,0,0
train_87,1966,학사,이혼,48877.0,0,1,2014-01-05,27,102,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,0
train_88,1972,학사,기혼,80134.0,1,0,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6,1,0,0,1,1,0,1
train_89,1954,학사,기혼,38998.0,1,1,2012-11-03,92,34,1,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,0
train_90,1970,박사,기혼,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
train_91,1955,학사,미혼,,0,1,2013-10-18,95,264,0,21,12,6,147,3,6,1,5,7,0,0,0,0,0,0,0
train_92,1952,박사,동거,85431.0,0,0,2013-06-08,54,376,53,462,168,53,53,1,2,7,7,0,0,0,0,0,0,0,0
train_93,1980,고졸,동거,25130.0,1,0,2013-10-02,10,2,5,7,0,18,18,2,2,0,3,7,0,0,0,0,0,0,0
train_94,1986,박사,미혼,29999.0,1,0,2013-02-13,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0
train_95,1970,학사,기혼,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0
train_96,1988,학사,기혼,84219.0,0,0,2014-02-02,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0
train_97,1962,학사,동거,72025.0,0,0,2012-11-17,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0
train_98,1958,고졸,미혼,85485.0,0,0,2014-06-21,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0
train_99,1962,학사,기혼,65316.0,1,1,2013-04-24,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0
train_100,1986,고졸,동거,20491.0,0,0,2013-01-25,16,5,4,5,4,2,10,1,0,1,2,7,0,0,0,0,0,0,0
train_101,1969,학사,미혼,81657.0,0,0,2014-01-22,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,0
train_102,1957,박사,동거,6835.0,0,1,2012-12-08,76,107,2,12,2,2,12,0,0,0,1,20,0,0,0,0,0,0,0
train_103,1957,박사,미혼,40737.0,2,1,2013-12-08,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0
train_104,1956,석사,동거,50943.0,0,1,2013-06-21,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0
train_105,1969,학사,기혼,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
train_106,1969,박사,기혼,68462.0,0,0,2012-12-12,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0
train_107,1966,석사,기혼,38179.0,1,1,2013-03-14,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0
train_108,1983,석사,기혼,27100.0,1,0,2013-04-05,64,12,0,13,2,0,10,1,1,0,3,7,0,0,0,0,0,0,0
train_109,1964,석사,기혼,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
train_110,1989,학사,미혼,64449.0,1,0,2014-02-18,70,218,63,282,137,35,70,4,5,3,12,4,0,0,0,0,0,0,0
train_111,1953,학사,미혼,73892.0,0,0,2013-11-13,40,703,102,601,0,58,43,1,3,11,8,1,0,0,0,0,0,0,1
train_112,1966,학사,동거,57811.0,0,1,2013-06-24,49,545,7,114,37,21,78,5,7,2,11,5,0,0,0,1,0,0,0
train_113,1969,학사,동거,58917.0,1,2,2013-03-24,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,0
train_114,1988,학사,동거,87679.0,0,0,2013-07-27,62,1259,172,815,97,148,33,1,7,11,10,4,1,0,1,0,1,0,1
train_115,1975,초졸_중졸,기혼,30801.0,0,1,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0
train_116,1984,석사,기혼,30477.0,1,0,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0
train_117,1961,학사,미혼,82332.0,0,0,2012-09-17,89,830,59,968,51,79,19,1,5,3,12,2,0,0,0,0,1,0,1
train_118,1980,학사,기혼,82497.0,0,0,2012-10-31,32,777,129,573,216,21,203,1,2,7,9,4,0,0,0,0,1,0,0
train_119,1981,학사,동거,31089.0,1,0,2012-08-17,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0
train_120,1955,학사,동거,76005.0,0,0,2013-02-22,72,983,20,389,240,50,40,1,3,5,13,6,1,0,0,0,0,0,0
train_121,1945,박사,기혼,70356.0,0,0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0
train_122,1979,박사,동거,27922.0,1,0,2014-05-10,80,11,0,13,2,4,11,1,2,0,3,4,0,0,0,0,0,0,0
train_123,1971,학사,사별,30372.0,1,1,2012-12-25,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0
train_124,1979,학사,기혼,72063.0,0,1,2013-07-03,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0
train_125,1971,학사,이혼,29819.0,1,0,2013-10-24,77,9,1,24,2,1,2,3,3,0,3,6,0,0,0,0,0,0,0
train_126,1964,학사,동거,63404.0,0,2,2014-06-06,97,734,26,70,11,44,17,2,6,3,4,4,1,0,0,0,0,0,0
train_127,1956,석사,동거,28839.0,1,1,2014-03-11,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0
train_128,1952,학사,미혼,75127.0,0,0,2014-05-22,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0
train_129,1988,학사,미혼,68655.0,0,0,2012-08-10,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0
train_130,1976,학사,기혼,65665.0,0,1,2013-12-02,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0
train_131,1971,학사,기혼,35788.0,1,1,2014-01-23,34,23,2,11,3,1,4,2,2,0,3,6,0,0,0,0,0,0,0
train_132,1955,학사,미혼,57959.0,0,1,2013-05-02,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0
train_133,1952,학사,미혼,53700.0,0,1,2012-08-17,94,263,5,233,69,41,83,4,5,5,8,5,0,0,0,0,0,0,0
train_134,1975,학사,이혼,36627.0,2,0,2013-07-23,78,9,1,5,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0
train_135,1954,학사,이혼,79865.0,0,1,2014-06-18,12,71,99,278,185,121,38,1,5,10,5,1,0,0,0,0,0,0,0
train_136,1972,학사,기혼,74716.0,0,1,2013-09-12,92,133,27,421,13,195,71,2,7,3,5,4,0,0,0,0,0,0,0
train_137,1971,학사,이혼,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0
train_138,1970,학사,이혼,44267.0,1,1,2013-02-25,48,183,5,65,3,5,49,5,5,2,4,9,0,0,0,0,0,0,0
train_139,1960,,미혼,48904.0,0,1,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0
train_140,1955,고졸,기혼,62972.0,0,1,2012-08-03,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,0
train_141,1982,학사,동거,45203.0,2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,0,1
train_142,1981,초졸_중졸,기혼,24480.0,1,0,2013-02-11,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0
train_143,1954,학사,기혼,86718.0,0,0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0
train_144,1981,석사,동거,77882.0,0,0,2014-04-30,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0
train_145,1976,고졸,동거,25176.0,1,1,2013-08-10,79,4,0,4,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
train_146,1956,학사,기혼,63943.0,0,1,2012-09-02,50,423,184,368,13,97,21,1,6,4,6,5,0,0,0,0,0,0,0
train_147,1960,석사,기혼,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
train_148,1954,석사,이혼,62637.0,0,1,2014-03-01,76,104,12,48,4,12,5,1,2,2,5,2,0,0,0,0,0,0,0
train_149,1949,석사,기혼,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0
train_150,1975,학사,기혼,40794.0,0,1,2013-04-07,18,261,23,73,4,23,50,2,6,3,5,7,0,0,0,0,0,0,0
train_151,1978,고졸,동거,,0,0,2012-08-12,53,32,2,1607,12,4,22,0,0,0,1,0,0,0,0,1,0,0,0
train_152,1964,학사,이혼,51983.0,0,1,2012-08-31,95,631,0,115,10,7,30,3,9,2,10,7,0,0,0,0,0,0,0
train_153,1969,학사,기혼,48752.0,1,1,2012-12-12,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,0,1
train_154,1972,석사,이혼,37760.0,1,0,2013-08-11,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0
train_155,1982,석사,동거,18492.0,1,0,2014-06-05,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0
train_156,1949,석사,기혼,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,1,0,0,0
train_157,1978,고졸,동거,17117.0,1,0,2013-01-17,96,12,23,38,30,18,7,4,3,1,3,9,0,0,0,0,0,0,0
train_158,1979,학사,이혼,15287.0,1,0,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7,0,0,1,0,0,0,1
train_159,1992,초졸_중졸,미혼,7500.0,1,0,2012-12-03,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,0
train_160,1965,학사,미혼,23478.0,0,0,2013-03-19,51,28,6,27,12,17,39,1,3,0,3,8,0,0,0,0,0,0,0
train_161,1978,박사,동거,34043.0,1,0,2013-10-25,97,20,2,14,3,0,10,1,2,0,2,9,0,0,0,0,0,0,0
train_162,1959,학사,동거,87771.0,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,1,1,0,1,1,0,1
train_163,1962,학사,미혼,66565.0,0,1,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0
train_164,1950,석사,사별,64866.0,0,1,2014-01-26,9,508,5,21,7,5,10,4,7,3,7,5,0,0,0,1,0,0,0
train_165,1987,석사,기혼,73395.0,0,0,2014-03-18,94,272,7,80,20,7,11,1,4,4,6,2,0,0,0,0,0,0,0
train_166,1958,석사,동거,46692.0,0,1,2013-06-06,37,170,6,97,24,12,88,3,6,1,5,6,0,0,0,0,0,0,0
train_167,1970,석사,미혼,44802.0,0,0,2012-08-21,71,853,10,143,13,10,20,2,9,4,12,8,0,0,0,0,0,0,0
train_168,1976,박사,동거,49187.0,0,1,2014-01-11,63,81,1,31,2,1,0,1,1,1,5,2,0,0,0,0,0,0,0
train_169,1963,박사,동거,33629.0,1,1,2012-08-08,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,0
train_170,1971,학사,동거,34600.0,1,1,2013-01-01,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,0,1
train_171,1946,석사,기혼,66835.0,0,0,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0
train_172,1976,학사,동거,36283.0,1,1,2014-04-14,42,6,5,5,8,0,5,2,1,0,3,4,0,0,0,0,0,0,0
train_173,1977,학사,기혼,41443.0,1,0,2014-04-01,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0
train_174,1965,학사,기혼,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,1,0,0,0,0,0,0
train_175,1976,학사,기혼,7500.0,1,0,2012-08-01,19,7,0,12,13,7,32,5,4,1,2,9,0,0,1,0,0,0,1
train_176,1963,학사,이혼,68118.0,0,1,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0
train_177,1974,학사,기혼,30631.0,1,0,2013-07-12,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0
train_178,1964,고졸,기혼,62905.0,0,1,2013-09-10,68,166,75,96,119,107,59,3,7,2,8,4,0,0,0,0,0,0,0
train_179,1985,학사,기혼,19986.0,1,0,2013-11-14,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0
train_180,1953,석사,동거,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
train_181,1979,초졸_중졸,미혼,15862.0,1,0,2013-06-27,26,1,1,4,11,9,10,1,1,0,3,8,0,0,0,0,0,0,0
train_182,1959,학사,동거,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0
train_183,1978,학사,동거,22775.0,1,0,2013-06-19,40,5,1,8,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
train_184,1948,박사,기혼,83837.0,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,0,1
train_185,1968,석사,기혼,29543.0,2,0,2014-04-01,47,17,3,18,3,4,18,2,3,1,2,7,0,0,0,0,0,0,0
train_186,1971,박사,기혼,71969.0,0,1,2012-10-16,59,1000,0,76,0,0,10,3,3,4,9,8,0,0,0,1,0,0,0
train_187,1973,학사,기혼,31814.0,1,0,2013-02-09,73,35,3,20,4,1,20,2,2,0,3,9,0,0,1,0,0,0,0
train_188,1980,학사,동거,62994.0,1,0,2014-03-04,74,224,12,48,4,12,12,1,6,2,4,6,0,0,0,0,0,0,0
train_189,1989,박사,미혼,33996.0,0,0,2013-09-11,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0
train_190,1978,학사,기혼,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0
train_191,1958,학사,이혼,71964.0,0,0,2013-05-20,81,587,51,932,180,34,86,1,5,6,5,3,0,0,0,0,0,0,0
train_192,1984,학사,기혼,27255.0,1,0,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0
train_193,1994,학사,동거,80134.0,0,0,2014-02-14,11,966,26,282,52,26,26,1,2,7,11,5,1,1,0,1,1,0,0
train_194,1965,박사,기혼,57236.0,1,1,2014-03-12,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,0
train_195,1944,학사,기혼,55956.0,0,0,2014-04-07,22,760,38,104,50,9,38,2,7,3,4,4,0,0,0,1,0,0,0
train_196,1994,학사,미혼,95529.0,0,0,2012-12-03,29,770,29,890,250,27,24,1,7,3,7,3,0,0,0,0,1,0,1
